Elemento,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Color_Munsell,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Color_Baño,Engobe,Color_Engobe,Estilo_ceramico,Color_Eng _o_baño2
cuerpo,1,2,5,1,0,"7,00","3,00",2,2,0,5YR6/8,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,6,0,0,"12,00","5,00",2,2,0,2.5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,6,0,0,"8,00","3,00",2,2,0,2.5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,6,1,0,"10,00","3,00",1,1,1,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,1,6,0,0,"7,00","3,00",1,2,0,5YR5/6,0,2,1,1,0,No,0,No,Achurado cruzada,No
cuerpo,0,2,6,0,0,"10,00","4,00",2,2,1,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,1,3,6,1,0,"11,00","6,00",0,2,0,5YR5/6,0,0,0,0,2,Rojo amarilloso,0,No,Momil Rojo sencilla,No
cuerpo,1,1,3,1,0,"5,00","3,00",1,1,0,5YR5/8,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,3,0,0,"6,00","3,00",1,1,0,5YR5/8,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,1,2,6,1,0,"7,00","3,00",2,2,0,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,1,1,2,0,0,"6,00","4,00",2,2,1,10YR3/1,1,1,6,1,0,No,0,No,Acanalado punteado,No
cuerpo,0,1,5,0,0,"7,00","4,00",3,3,0,10YR6/4,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,0,3,6,1,0,"13,00","5,00",1,1,0,5YR4/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,3,5,0,0,"10,00","5,00",2,2,0,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,3,5,1,0,"15,00","7,00",1,1,0,5YR6/4,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,1,1,4,0,0,"5,00","4,00",2,2,0,5YR5/3,2,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,1,1,4,0,0,"5,00","5,00",2,2,0,5YR5/3,3,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,0,1,4,0,0,"8,00","2,00",2,2,1,5YR5/4,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,0,1,4,0,0,"7,00","3,00",2,2,1,5YR5/4,0,0,0,0,0,No,0,No,Sin identificar,No
