,Unnamed: 0,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,cluster
0,0,1,2,5,1,0,7,3,2,2,0,0,0,0,0,0,0,1
1,1,0,2,6,0,0,12,5,2,2,0,0,0,0,0,0,0,2
2,2,0,2,6,0,0,8,3,2,2,0,0,0,0,0,0,0,2
3,3,0,2,6,1,0,10,3,1,1,1,0,0,0,0,0,0,1
4,4,0,1,6,0,0,7,3,1,2,0,0,2,1,1,0,0,2
5,5,0,2,6,0,0,10,4,2,2,1,0,0,0,0,0,0,2
6,6,1,3,6,1,0,11,6,0,2,0,0,0,0,0,2,0,4
7,7,1,1,3,1,0,5,3,1,1,0,0,0,0,0,0,0,1
8,8,0,2,3,0,0,6,3,1,1,0,0,0,0,0,0,0,2
9,9,1,2,6,1,0,7,3,2,2,0,0,0,0,0,0,0,1
10,10,1,1,2,0,0,6,4,2,2,1,1,1,6,1,0,0,3
11,11,0,1,5,0,0,7,4,3,3,0,0,0,0,0,0,0,2
12,12,0,3,6,1,0,13,5,1,1,0,0,0,0,0,0,0,1
13,13,0,3,5,0,0,10,5,2,2,0,0,0,0,0,0,0,2
14,14,0,3,5,1,0,15,7,1,1,0,0,0,0,0,0,0,1
15,15,1,1,4,0,0,5,4,2,2,0,2,0,0,0,0,0,2
16,16,1,1,4,0,0,5,5,2,2,0,3,0,0,0,0,0,2
17,17,0,1,4,0,0,8,2,2,2,1,0,0,0,0,0,0,2
18,18,0,1,4,0,0,7,3,2,2,1,0,0,0,0,0,0,2
19,19,1,1,1,0,0,6,3,2,2,1,0,0,0,0,0,0,2
20,20,1,1,5,0,0,6,3,1,2,1,2,0,0,0,0,0,2
21,21,1,1,4,0,0,6,3,1,3,0,1,0,0,0,0,0,2
22,22,0,2,5,0,0,6,3,1,1,0,0,0,0,0,0,0,2
23,23,1,3,4,0,0,7,4,1,1,0,0,0,0,0,0,0,2
24,24,0,3,2,0,0,7,5,2,2,1,0,0,0,0,0,0,2
25,25,0,2,4,0,0,11,5,2,1,1,0,0,0,0,0,0,2
26,26,0,2,6,1,0,5,2,2,2,0,0,0,0,0,0,0,1
27,27,0,3,5,0,0,6,3,1,1,0,0,0,0,0,0,0,2
28,28,0,2,2,0,0,6,2,1,1,0,0,0,0,0,0,0,2
29,29,0,2,2,0,0,6,3,1,1,0,0,0,0,0,0,0,2
30,30,0,2,6,0,0,8,3,2,2,1,2,0,0,0,0,0,2
31,31,1,3,1,1,0,9,5,1,1,0,0,0,0,0,0,0,1
32,32,0,2,6,1,0,6,3,2,1,0,0,0,0,0,0,0,1
33,33,0,2,5,0,0,7,3,2,1,0,0,0,0,0,0,0,2
34,34,0,2,6,0,0,8,3,2,2,1,0,0,0,0,0,0,2
35,35,1,2,5,1,0,10,3,2,1,0,0,0,0,0,0,0,1
36,36,1,1,5,0,0,7,3,1,2,1,0,0,0,0,0,0,2
37,37,0,2,5,1,0,8,3,2,2,1,0,0,0,0,0,0,1
38,38,0,2,6,0,0,10,3,2,2,0,0,0,0,0,0,0,2
