,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,cluster
0,1,2,5,1,0,7,3,2,2,0,0,0,0,0,0,0,1
1,0,2,6,0,0,12,5,2,2,0,0,0,0,0,0,0,2
2,0,2,6,0,0,8,3,2,2,0,0,0,0,0,0,0,2
3,0,2,6,1,0,10,3,1,1,1,0,0,0,0,0,0,1
4,0,1,6,0,0,7,3,1,2,0,0,2,1,1,0,0,2
5,0,2,6,0,0,10,4,2,2,1,0,0,0,0,0,0,2
6,1,3,6,1,0,11,6,0,2,0,0,0,0,0,2,0,4
7,1,1,3,1,0,5,3,1,1,0,0,0,0,0,0,0,1
8,0,2,3,0,0,6,3,1,1,0,0,0,0,0,0,0,2
9,1,2,6,1,0,7,3,2,2,0,0,0,0,0,0,0,1
10,1,1,2,0,0,6,4,2,2,1,1,1,6,1,0,0,3
11,0,1,5,0,0,7,4,3,3,0,0,0,0,0,0,0,2
12,0,3,6,1,0,13,5,1,1,0,0,0,0,0,0,0,1
13,0,3,5,0,0,10,5,2,2,0,0,0,0,0,0,0,2
14,0,3,5,1,0,15,7,1,1,0,0,0,0,0,0,0,1
15,1,1,4,0,0,5,4,2,2,0,2,0,0,0,0,0,2
16,1,1,4,0,0,5,5,2,2,0,3,0,0,0,0,0,2
17,0,1,4,0,0,8,2,2,2,1,0,0,0,0,0,0,2
18,0,1,4,0,0,7,3,2,2,1,0,0,0,0,0,0,2
19,1,1,1,0,0,6,3,2,2,1,0,0,0,0,0,0,2
20,1,1,5,0,0,6,3,1,2,1,2,0,0,0,0,0,2
21,1,1,4,0,0,6,3,1,3,0,1,0,0,0,0,0,2
22,0,2,5,0,0,6,3,1,1,0,0,0,0,0,0,0,2
23,1,3,4,0,0,7,4,1,1,0,0,0,0,0,0,0,2
24,0,3,2,0,0,7,5,2,2,1,0,0,0,0,0,0,2
25,0,2,4,0,0,11,5,2,1,1,0,0,0,0,0,0,2
26,0,2,6,1,0,5,2,2,2,0,0,0,0,0,0,0,1
27,0,3,5,0,0,6,3,1,1,0,0,0,0,0,0,0,2
28,0,2,2,0,0,6,2,1,1,0,0,0,0,0,0,0,2
29,0,2,2,0,0,6,3,1,1,0,0,0,0,0,0,0,2
30,0,2,6,0,0,8,3,2,2,1,2,0,0,0,0,0,2
31,1,3,1,1,0,9,5,1,1,0,0,0,0,0,0,0,1
32,0,2,6,1,0,6,3,2,1,0,0,0,0,0,0,0,1
33,0,2,5,0,0,7,3,2,1,0,0,0,0,0,0,0,2
34,0,2,6,0,0,8,3,2,2,1,0,0,0,0,0,0,2
35,1,2,5,1,0,10,3,2,1,0,0,0,0,0,0,0,1
36,1,1,5,0,0,7,3,1,2,1,0,0,0,0,0,0,2
37,0,2,5,1,0,8,3,2,2,1,0,0,0,0,0,0,1
38,0,2,6,0,0,10,3,2,2,0,0,0,0,0,0,0,2
39,0,3,3,0,0,10,3,1,1,0,0,0,0,0,0,0,2
40,0,0,1,0,0,5,3,3,3,0,0,0,0,0,0,0,2
41,1,1,5,0,0,8,5,3,3,2,0,0,0,0,0,0,2
42,0,0,1,0,0,5,3,3,3,0,0,0,0,0,0,0,2
43,1,0,0,0,0,10,3,3,3,0,0,0,0,0,0,0,2
44,1,0,0,0,0,10,4,3,3,0,0,0,0,0,0,0,2
45,1,0,1,0,0,7,4,3,3,0,0,0,0,0,0,0,2
46,0,2,6,0,0,11,3,3,3,1,0,0,0,0,0,0,2
47,1,1,2,0,0,6,2,2,2,0,0,0,0,0,0,0,2
48,0,1,3,0,0,7,2,1,1,0,0,0,0,0,0,0,2
49,0,2,5,1,0,8,3,1,1,0,0,0,0,0,0,0,1
50,0,3,5,1,0,11,4,1,0,1,0,0,0,0,0,0,1
51,0,2,2,1,0,8,3,2,1,0,0,0,0,0,0,0,1
52,0,0,1,0,0,6,3,1,3,0,0,0,0,0,0,0,2
53,0,2,3,0,0,10,4,2,2,0,0,0,0,0,0,0,2
54,1,1,2,0,0,4,4,3,3,0,0,0,0,0,0,0,2
55,1,2,6,0,0,8,5,2,2,0,0,0,0,0,0,0,2
56,0,2,3,0,0,9,3,1,2,0,0,0,0,0,0,0,2
57,0,1,6,0,0,7,3,3,2,0,0,0,0,0,0,0,2
58,0,2,5,0,0,5,3,1,3,1,0,0,0,0,0,0,2
59,0,2,2,1,0,6,2,1,1,0,0,0,0,0,0,0,1
60,1,0,1,0,0,7,3,1,3,0,0,0,0,0,0,0,2
61,1,1,5,0,0,11,4,2,2,1,0,0,0,0,0,0,2
62,0,1,2,0,0,10,3,2,1,0,0,0,0,0,0,0,2
63,0,2,5,1,0,5,3,1,1,0,0,0,0,0,0,0,1
64,0,1,1,0,0,6,3,2,2,0,0,0,0,0,0,0,2
65,1,1,2,0,0,7,2,2,2,0,0,0,0,0,0,0,2
66,1,3,0,1,0,7,4,2,2,0,0,0,0,0,0,0,1
67,0,2,2,0,0,7,4,2,1,1,0,0,0,0,0,0,2
68,1,0,1,0,0,7,4,3,3,0,0,0,0,0,0,0,2
69,0,0,5,0,0,5,2,3,3,1,0,0,0,0,0,0,2
70,0,1,6,0,0,8,3,3,3,0,0,0,0,0,0,0,2
71,0,3,2,0,0,7,4,2,2,0,0,0,0,0,0,0,2
72,1,2,4,0,0,4,3,1,1,0,0,0,0,0,0,0,2
73,1,2,4,0,0,7,7,2,2,1,0,0,0,0,0,0,2
74,1,2,4,0,0,8,4,2,2,1,0,0,0,0,0,0,2
75,0,2,4,0,0,6,4,2,2,1,0,0,0,0,0,0,2
76,1,2,4,0,0,6,3,3,3,1,2,0,0,0,0,0,2
77,0,2,4,0,0,7,2,2,3,1,0,0,0,0,0,0,2
78,1,1,4,0,0,7,3,2,2,1,1,0,0,0,0,0,2
79,1,2,4,0,0,8,5,2,2,1,0,0,0,0,0,0,2
80,0,2,4,0,0,7,3,2,2,1,0,0,0,0,0,0,2
81,1,2,4,0,0,8,4,2,2,1,0,0,0,0,0,0,2
82,0,2,4,0,0,8,3,2,2,1,1,0,0,0,0,0,2
83,0,2,4,0,0,6,3,2,2,1,0,0,0,0,0,0,2
84,0,2,1,0,0,8,3,2,1,1,0,0,0,0,0,0,2
85,1,1,4,0,0,6,3,2,2,0,0,0,0,0,0,0,2
86,0,3,1,1,0,7,2,1,1,0,0,0,0,0,0,0,1
87,0,1,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
88,1,2,2,0,0,8,4,2,2,1,1,0,0,0,0,0,2
89,0,1,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
90,0,3,0,1,0,7,3,1,1,0,0,0,0,0,0,0,1
91,0,2,2,0,0,7,3,2,2,0,0,0,0,0,0,0,2
92,1,1,0,0,0,10,3,1,2,0,0,0,0,0,0,0,2
93,0,1,2,0,0,8,3,1,3,1,1,0,0,0,0,0,2
94,0,1,2,0,0,9,2,2,2,1,0,0,0,0,0,0,2
95,0,1,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
96,0,2,2,0,0,9,3,2,2,1,1,0,0,0,0,0,2
97,0,2,5,1,0,10,3,2,2,0,0,0,0,0,0,0,1
98,0,2,6,1,0,9,3,2,2,1,0,0,0,0,0,0,1
99,0,2,4,1,0,8,3,2,1,1,0,0,0,0,0,0,1
100,0,1,6,1,0,7,2,1,3,0,0,0,0,0,0,0,1
101,0,1,6,1,0,7,4,2,2,1,0,0,0,0,0,0,1
102,0,2,6,1,0,5,3,2,2,1,1,0,0,0,0,0,1
103,0,2,2,0,0,8,3,3,3,1,0,0,0,0,0,0,2
104,1,2,4,1,0,6,3,1,1,1,0,0,0,0,0,0,1
105,1,2,2,0,0,9,4,1,2,1,0,0,0,0,0,0,2
106,1,3,4,1,0,16,6,2,2,1,0,0,0,0,0,0,1
107,0,3,0,1,0,14,3,1,1,0,0,0,0,0,0,0,1
108,0,3,0,1,0,16,3,1,1,0,0,0,0,0,0,0,1
109,1,1,0,0,0,10,4,2,2,1,0,0,0,0,0,0,2
110,1,1,0,0,0,10,3,2,2,1,0,0,0,0,0,0,2
111,1,1,0,0,0,10,3,2,3,1,1,5,7,1,0,0,3
112,1,0,5,0,0,19,4,2,2,1,0,3,4,1,0,0,3
113,0,0,3,0,0,5,2,3,3,0,0,0,0,0,0,0,2
114,0,2,2,0,0,8,2,1,2,1,0,0,0,0,0,0,2
115,0,0,3,0,0,5,2,3,3,1,2,0,0,0,0,0,2
116,0,1,5,0,0,6,2,3,3,1,0,0,0,0,0,0,2
